Price,Close,High,Low,Open,Volume,MA_20,MA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,Daily_Return
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,,,,
Date,,,,,,,,,,,,,
2022-01-03,326.2877197265625,329.45556166565535,321.44335717139757,326.87255803377127,28865100,,,,326.2877197265625,326.2877197265625,0.0,0.0,
2022-01-04,320.6928405761719,326.72636359123794,317.87588370736904,326.3656919752481,32674300,,,,325.4269690880409,325.873284233941,-0.4463151459000869,-0.08926302918001738,
2022-01-05,308.382080078125,317.82712421089127,307.99219782288543,317.6224114863503,40054300,,,,322.8046784711307,324.5776394816583,-1.772961010527581,-0.42600262544953016,
2022-01-06,305.9452819824219,310.6434420341143,303.615685658402,305.23372529327946,39646100,,,,320.2109251651755,323.19746485208526,-2.9865396869097367,-0.9381100377415714,
2022-01-07,306.1011962890625,308.4990000935818,302.2510388918221,306.2084012526706,32720000,,,,318.04019764577356,321.9310745881576,-3.890876942384068,-1.528663418670071,
2022-01-10,306.3254699707031,306.76410619315646,296.98765856124453,301.66630611887314,44289500,,,,316.23793184960886,320.7751038757536,-4.537172026144731,-2.130365140165003,
2022-01-11,307.0174865722656,308.60625606663586,302.05616259037953,305.4579277581573,29386800,,,,314.8194018069407,319.75602111253227,-4.9366193055915915,-2.691615973250321,
2022-01-12,310.2243347167969,315.23441320295166,309.06441474809145,311.58896744194254,34372200,,,,314.112468408457,319.0499702684037,-4.9375018599466785,-3.1407931505895923,
2022-01-13,297.0948181152344,312.76834155330585,296.31505355695003,312.368702549699,45366000,,,,311.4943683633458,317.4236627015022,-5.92929433815641,-3.698493388102956,
2022-01-14,302.35833740234375,302.96265940573966,296.0713777298819,296.55873802244133,39846400,,,,310.0888251385763,316.30771267934233,-6.2188875407660476,-4.2025722186355745,
2022-01-18,294.9992370605469,301.9684846633467,294.1122375843916,296.38335365147816,42333200,,,,307.76735004964866,314.72930707795007,-6.961957028301413,-4.754449180568742,
2022-01-19,295.6619873046875,305.9745479382387,295.04793831177057,298.5471817056459,45933900,,,,305.90498655042387,313.3169130206714,-7.411926470247522,-5.285944638504499,
2022-01-20,293.9757080078125,303.77163710966346,293.5273449078538,301.2568713142937,35380700,,,,304.0697129284836,311.88423116786703,-7.814518239383403,-5.79165935868028,
2022-01-21,288.5465393066406,296.4222687012469,288.1371435645374,295.0381821009371,57984400,,,,301.681532371277,310.15551325222066,-8.473980880943657,-6.328123663132955,
2022-01-24,288.8778991699219,289.59918279456133,269.0715722014422,284.81333149267067,85731500,,,,299.7117426479916,308.5793936905689,-8.867651042577279,-6.836029139021821,
2022-01-25,281.1971130371094,287.5327964112753,277.9610635207325,284.1505150201454,72848600,,,,296.8633380924713,306.5510766051275,-9.68773851265621,-7.406371013748699,
2022-01-26,289.2093505859375,300.701315173843,285.6223857968369,300.20419813243313,90428900,,,,295.6858015530046,305.2665043074097,-9.580702754405138,-7.841237361879987,
2022-01-27,292.26025390625,299.5316620686976,290.3985337819578,295.0089734455368,53481300,,,,295.1587942227346,304.30307835176825,-9.144284129033622,-8.101846715310714,
2022-01-28,300.4673767089844,300.68181642728484,287.0064878251391,292.6403716101844,49743700,,,,295.9754992206192,304.01895230415465,-8.04345308353544,-8.09016798895566,
2022-01-31,303.1186218261719,304.4832247121305,298.6251444080618,301.1399402050038,46444500,,,,297.074441159935,303.9522611576374,-6.877819997702375,-7.847698390705003,
2022-02-01,300.9547424316406,302.7774651970298,297.4165018888912,302.5630254748598,40950400,,,,297.67141058635127,303.7302227334895,-6.058812147138212,-7.489921141991646,
2022-02-02,305.5359191894531,307.153958998636,301.07171180931266,301.8027522790337,36636000,,,,298.8813349868285,303.8639780265238,-4.98264303969529,-6.988465521532375,
2022-02-03,293.634521484375,303.36224181758416,292.3771238352501,301.6662080885464,43730000,,,,298.074132909528,303.10624050488315,-5.032107595355171,-6.597193936296935,
2022-02-04,298.2060852050781,300.9937724268453,292.387000814385,292.62092428862604,35096500,,,,298.09443326268956,302.7432660382309,-4.648832775541337,-6.207521704145816,
2022-02-07,293.3421630859375,300.0579722455786,292.318688654962,298.4302055756614,28533300,,,,297.36331477395845,302.0468880417647,-4.683573267806253,-5.902732016877904,
2022-02-08,296.86090087890625,297.8356214701152,292.3674532315667,293.6345781016936,32421200,,,,297.28602032856577,301.66274084451595,-4.376720515950183,-5.59752971669236,
2022-02-09,303.3427429199219,304.0445428337762,299.61933340791035,302.0366210864361,31284700,,,,298.217823804159,301.7871854426942,-3.569361638535156,-5.19189610106092,
2022-02-10,294.73602294921875,301.3056303449397,293.0984994627188,296.35406273211004,45386200,,,,297.6821621341682,301.2648771098441,-3.5827149756759127,-4.8700598759839195,
2022-02-11,287.5815734863281,296.5977390154296,286.7822954571139,295.52554040869245,39175600,,,,296.1282254191159,300.25129906365777,-4.123073644541876,-4.720662629695511,
2022-02-14,287.5425720214844,289.25808976653775,283.98484784230527,286.3436549956421,36359500,,,,294.80735566563413,299.3099118753486,-4.502556209714442,-4.677041345699298,
2022-02-15,292.8742980957031,293.1959428034632,289.51150014765204,292.4259349513336,27058300,,,,294.50996219333706,298.83319974352304,-4.323237550185979,-4.606280586596634,
2022-02-16,292.5324401855469,293.87056377377104,286.84782935265383,291.42872370544427,29982100,,,,294.2057280382924,298.3664768133026,-4.160748775010177,-4.5171742242793425,
2022-02-17,283.9664611816406,289.8952259052709,283.253433188046,289.46545969099697,32461600,,,,292.6304562141921,297.29980898873504,-4.669352774542915,-4.5476099343320575,
2022-02-18,281.23162841796875,287.0236665492463,279.64932064724337,286.2325126638836,34264000,,,,290.87679039938854,296.1095733909005,-5.232782991511954,-4.684644545768037,
2022-02-22,281.0264587402344,284.75759709047884,277.88136790068825,278.3697358583344,41736100,,,,289.36135475951863,294.9923056389993,-5.630950879480679,-4.873905812510565,
2022-02-23,273.7497863769531,284.9139014449889,273.58375795019657,283.42924365685803,37811200,,,,286.9595750083547,293.4187856936625,-6.4592106853078235,-5.190966787070018,
2022-02-24,287.7366943359375,288.29344108652936,265.20338455523887,266.17037359774605,56989700,,,,287.0791318279828,292.9978900375348,-5.9187582095519815,-5.336525071566411,
2022-02-25,290.3933410644531,290.7059036987677,284.8650124264192,288.27384090466165,32546700,,,,287.58901017205517,292.80496048397316,-5.215950311917993,-5.312410119636728,
2022-02-28,291.83892822265625,292.1807917495487,286.18361900941,287.46314065518425,34627500,,,,288.24284371830146,292.7334025386904,-4.490558820388969,-5.148039859787176,
2022-03-01,288.0883483886719,292.99155328449973,285.35346919844056,289.50459796595675,31217800,,,,288.2190752060508,292.3893244535039,-4.170249247453114,-4.9524817373203645,
2022-03-02,293.2064208984375,294.45664195103654,286.867412960762,288.4887687039151,31873000,,,,288.98635915872563,292.44985011609157,-3.4634909573659343,-4.654683581329478,
2022-03-03,289.0357360839844,296.0779944403515,287.20921468862633,295.8435873340458,27314500,,,,288.9939556087655,292.1969527803799,-3.202997171614413,-4.364346299386465,
2022-03-04,283.11676025390625,288.7818484912624,280.4893671167525,287.4437245737049,32356500,,,,288.0897717080179,291.52434592656704,-3.4345742185491304,-4.178391883218999,
